,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,0.0,0.9322260618209839,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.875705897808075,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.942878782749176,0.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.9278936386108398
9,0.9626542925834656,0.9881885051727295,0.953692615032196,1.0,1.0,1.0,0.9971418380737305,1.0,1.0,0.9996087551116943,0.7676870822906494,0.9973782300949097,0.9371260404586792,0.9899806976318359,0.596848726272583,0.5976713299751282,0.7767857313156128,1.0,1.0,1.0,1.0,0.8849786520004272,1.0,1.0,0.851722776889801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9678793549537659,1.0,0.9945818781852722,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9716379642486572,1.0,1.0,0.9750688672065735,1.0,0.7128394842147827,1.0,1.0,0.9745662808418274
10,0.8666666746139526,0.9860423803329468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973501563072205,,0.9639216661453247,1.0,1.0,,1.0,1.0,1.0,1.0,0.5444445013999939,1.0,0.9216870069503784,0.9901360869407654,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.9909090995788574,,0.9699794054031372,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.8486394882202148,1.0,1.0,,1.0,0.9722356796264648
11,1.0,0.9976190328598022,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,0.9913889169692993,1.0,,,,1.0,1.0,1.0,,,1.0,0.887499988079071,1.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.9939096570014954
12,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333432674408,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.7278544902801514
14,,0.949999988079071,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.8793209791183472,,,,,,,,,,,,,,,,,,,,,0.8869220614433289
overall_len,0.9196911454200745,0.9876238107681274,0.966026246547699,1.0,1.0,0.9988505840301514,0.9978644251823425,1.0,1.0,0.9998125433921814,0.8560405373573303,0.9975806474685669,0.9371260404586792,0.9724544882774353,0.7024253606796265,0.5838051438331604,0.7767857313156128,1.0,1.0,1.0,1.0,0.8137092590332031,1.0,0.9828876852989197,0.8836941719055176,1.0,0.9589457511901855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9702823758125305,1.0,0.9698440432548523,0.0,0.6666666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9735735058784485,1.0,1.0,0.9434540271759033,1.0,0.7141600847244263,1.0,1.0,0.9724970459938049
