,HLA-A01:01,HLA-A02:01,HLA-A02:05,HLA-A02:12,HLA-A03:01,HLA-A11:01,HLA-A23:01,HLA-A24:02,HLA-A30:01,HLA-A31:01,HLA-A31:08,HLA-A33:03,HLA-A34:01,HLA-B07:02,HLA-B08:01,HLA-B08:02,HLA-B13:01,HLA-B15:01,HLA-B15:02,HLA-B15:03,HLA-B18:01,HLA-B27:01,HLA-B27:02,HLA-B27:05,HLA-B35:01,HLA-B35:02,HLA-B35:08,HLA-B39:06,HLA-B40:01,HLA-B40:06,HLA-B41:01,HLA-B44:02,HLA-B46:01,HLA-B48:03,HLA-B50:01,HLA-B51:01,HLA-B52:01,HLA-B54:01,HLA-B56:01,HLA-B57:01,HLA-B58:01,HLA-C03:04,HLA-C04:01,HLA-C06:02,HLA-C07:01,HLA-C07:02,HLA-C08:02,HLA-C12:03,overall_mhc
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.24589024484157562,0.4589274823665619,0.4584615230560303,0.458744078874588,0.4807444214820862,0.4532865881919861,0.4907287359237671,0.558179497718811,0.4458003640174866,0.4346037805080414,0.4207518398761749,0.3343087434768677,0.3366025686264038,0.48037219047546387,0.41717633605003357,0.24769383668899536,0.1469348967075348,0.32697561383247375,0.14056158065795898,0.3988128900527954,0.22782188653945923,0.4996207654476166,0.3662736415863037,0.38927486538887024,0.31123244762420654,0.38124680519104004,0.23713356256484985,0.4918205738067627,0.32565176486968994,0.33648020029067993,0.3281477093696594,0.2291841059923172,0.15070855617523193,0.19298416376113892,0.4482652544975281,0.2656824588775635,0.2593464255332947,0.5215831398963928,0.4294205904006958,0.39424481987953186,0.3661225736141205,0.5157564282417297,0.20552292466163635,0.40063175559043884,0.6202449202537537,0.3891551196575165,0.4174913763999939,0.5030478835105896,0.315965473651886
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_len,0.24589024484157562,0.4589274823665619,0.4584615230560303,0.458744078874588,0.4807444214820862,0.4532865881919861,0.4907287359237671,0.558179497718811,0.4458003640174866,0.4346037805080414,0.4207518398761749,0.3343087434768677,0.3366025686264038,0.48037219047546387,0.41717633605003357,0.24769383668899536,0.1469348967075348,0.32697561383247375,0.14056158065795898,0.3988128900527954,0.22782188653945923,0.4996207654476166,0.3662736415863037,0.38927486538887024,0.31123244762420654,0.38124680519104004,0.23713356256484985,0.4918205738067627,0.32565176486968994,0.33648020029067993,0.3281477093696594,0.2291841059923172,0.15070855617523193,0.19298416376113892,0.4482652544975281,0.2656824588775635,0.2593464255332947,0.5215831398963928,0.4294205904006958,0.39424481987953186,0.3661225736141205,0.5157564282417297,0.20552292466163635,0.40063175559043884,0.6202449202537537,0.3891551196575165,0.4174913763999939,0.5030478835105896,0.315965473651886
