,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,1.0,0.20000000298023224,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,0.5892857313156128,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.25925925374031067,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.5148760080337524
9,0.976190447807312,0.8641806840896606,0.4507041871547699,1.0,1.0,1.0,0.8360655903816223,1.0,1.0,0.98591548204422,0.8214285969734192,0.8928571343421936,0.5126190185546875,0.786912739276886,0.680672287940979,0.6785714626312256,0.8250000476837158,1.0,1.0,1.0,1.0,0.8749999403953552,1.0,1.0,0.6692308187484741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7644675970077515,1.0,0.8725489377975464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7947368621826172,1.0,1.0,0.8636363744735718,1.0,0.5042016506195068,1.0,1.0,0.8055791854858398
10,0.8333333730697632,0.8383601307868958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8974359035491943,,0.6961538791656494,1.0,1.0,,1.0,1.0,1.0,1.0,0.6666666269302368,1.0,0.34375,0.9642857313156128,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.8999999761581421,,0.908199667930603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.8333333134651184,1.0,1.0,,1.0,0.794460654258728
11,1.0,0.9750000238418579,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,0.8666666746139526,1.0,,,,1.0,1.0,1.0,,,1.0,0.75,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.902020275592804
12,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.13636364042758942
14,,0.75,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.6944444179534912,,,,,,,,,,,,,,,,,,,,,0.6666666269302368
overall_len,0.9316239356994629,0.8517599701881409,0.45578229427337646,1.0,1.0,0.9655172228813171,0.8222222328186035,1.0,1.0,0.988095223903656,0.8787878751754761,0.8964647054672241,0.5126190185546875,0.7078461647033691,0.7450979948043823,0.6349206566810608,0.8250000476837158,1.0,1.0,1.0,1.0,0.8276315331459045,1.0,0.28651684522628784,0.6948217749595642,1.0,0.9340659379959106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.799212634563446,1.0,0.7756882309913635,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.800000011920929,1.0,1.0,0.856249988079071,1.0,0.451127827167511,1.0,1.0,0.7896125316619873
