,HLA-A01:01,HLA-A02:01,HLA-A02:05,HLA-A02:12,HLA-A03:01,HLA-A11:01,HLA-A23:01,HLA-A24:02,HLA-A30:01,HLA-A31:01,HLA-A31:08,HLA-A33:03,HLA-A34:01,HLA-B07:02,HLA-B08:01,HLA-B08:02,HLA-B13:01,HLA-B15:01,HLA-B15:02,HLA-B15:03,HLA-B18:01,HLA-B27:01,HLA-B27:02,HLA-B27:05,HLA-B35:01,HLA-B35:02,HLA-B35:08,HLA-B39:06,HLA-B40:01,HLA-B40:06,HLA-B41:01,HLA-B44:02,HLA-B46:01,HLA-B48:03,HLA-B50:01,HLA-B51:01,HLA-B52:01,HLA-B54:01,HLA-B56:01,HLA-B57:01,HLA-B58:01,HLA-C03:04,HLA-C04:01,HLA-C06:02,HLA-C07:01,HLA-C07:02,HLA-C08:02,HLA-C12:03,overall_mhc
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.6999778151512146,0.7583374381065369,0.7510473132133484,0.7980576157569885,0.7615576982498169,0.7290193438529968,0.7441509366035461,0.7606754899024963,0.7568494081497192,0.748956561088562,0.6528007388114929,0.7253841757774353,0.7696510553359985,0.6980341672897339,0.7290250658988953,0.7037108540534973,0.7699239253997803,0.6862342953681946,0.5739290714263916,0.6276588439941406,0.6238172054290771,0.856562614440918,0.7314290404319763,0.7471291422843933,0.6003017425537109,0.5856536626815796,0.6307176351547241,0.7262017726898193,0.7504645586013794,0.7805627584457397,0.7098167538642883,0.6563816070556641,0.6018476486206055,0.7070680260658264,0.9142373204231262,0.7635255455970764,0.7226760387420654,0.7572839856147766,0.7336747646331787,0.7123094797134399,0.6467463970184326,0.6163268685340881,0.6690755486488342,0.6381674408912659,0.624259889125824,0.6416137218475342,0.6408826112747192,0.5945173501968384,0.6639900803565979
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_len,0.6999778151512146,0.7583374381065369,0.7510473132133484,0.7980576157569885,0.7615576982498169,0.7290193438529968,0.7441509366035461,0.7606754899024963,0.7568494081497192,0.748956561088562,0.6528007388114929,0.7253841757774353,0.7696510553359985,0.6980341672897339,0.7290250658988953,0.7037108540534973,0.7699239253997803,0.6862342953681946,0.5739290714263916,0.6276588439941406,0.6238172054290771,0.856562614440918,0.7314290404319763,0.7471291422843933,0.6003017425537109,0.5856536626815796,0.6307176351547241,0.7262017726898193,0.7504645586013794,0.7805627584457397,0.7098167538642883,0.6563816070556641,0.6018476486206055,0.7070680260658264,0.9142373204231262,0.7635255455970764,0.7226760387420654,0.7572839856147766,0.7336747646331787,0.7123094797134399,0.6467463970184326,0.6163268685340881,0.6690755486488342,0.6381674408912659,0.624259889125824,0.6416137218475342,0.6408826112747192,0.5945173501968384,0.6639900803565979
