,HLA-A01:01,HLA-A02:01,HLA-A03:01,HLA-A11:01,HLA-A24:02,HLA-A26:01,HLA-A30:01,HLA-A33:03,HLA-A68:01,HLA-B07:02,HLA-B08:01,HLA-B15:01,HLA-B18:01,HLA-B27:05,HLA-B44:02,HLA-C01:02,overall_mhc
8,1.0,0.9375,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9611110687255859
9,0.8357842564582825,0.6845020055770874,0.8178353905677795,0.844245970249176,0.6837797164916992,0.9523809552192688,1.0,1.0,0.8571428656578064,0.85537189245224,0.595588207244873,0.875,1.0,0.8259259462356567,0.7556818723678589,1.0,0.7577564716339111
10,0.820105791091919,0.726963460445404,0.817148745059967,0.7857142686843872,0.7727272510528564,1.0,1.0,,0.9166666865348816,0.9734848141670227,1.0,0.5,1.0,1.0,0.8642857670783997,1.0,0.7631399035453796
11,1.0,0.9131942987442017,0.9166666269302368,0.9375,1.0,0.5,1.0,,1.0,,1.0,1.0,1.0,1.0,0.6666666865348816,,0.9054054617881775
12,,,,,1.0,,,,,,,,,,1.0,,1.0
13,,1.0,,,,,,,1.0,,,,,,,,1.0
14,,,,,,,,,,,,,,,,,
overall_len,0.8410794734954834,0.7122929096221924,0.8284804224967957,0.8580447435379028,0.6417613625526428,0.8999999761581421,0.9375,1.0,0.9201183319091797,0.9098143577575684,0.8842105269432068,0.8660714030265808,1.0,0.8223443627357483,0.7836174368858337,1.0,0.7817956209182739
