,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,1.0,0.3333333432674408,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,0.6309524178504944,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.40740740299224854,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.6188524961471558
9,1.0,0.8759067058563232,0.8967136144638062,1.0,1.0,1.0,0.9841269850730896,1.0,1.0,1.0,0.8035714626312256,0.8452380895614624,0.3620486855506897,0.7131901383399963,0.6554622054100037,0.8125,0.8500001430511475,1.0,1.0,1.0,1.0,0.8920453786849976,1.0,1.0,0.8640429377555847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7658227682113647,1.0,0.7857142686843872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922806978225708,1.0,1.0,0.7272727489471436,1.0,0.9411764740943909,1.0,1.0,0.8231993317604065
10,1.0,0.8829480409622192,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.9487179517745972,,0.7653846144676208,1.0,1.0,,1.0,1.0,1.0,1.0,0.9166666865348816,1.0,0.0625,0.6785714626312256,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9331046342849731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.7619048357009888,1.0,1.0,,1.0,0.8454091548919678
11,1.0,0.7444444298744202,1.0,1.0,,,1.0,,,1.0,0.0,1.0,,0.7333333492279053,1.0,,,,1.0,1.0,1.0,,,1.0,0.5,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.8696210980415344
12,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.4545454680919647
14,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.8888888955116272,,,,,,,,,,,,,,,,,,,,,0.8125
overall_len,0.9658119082450867,0.830461859703064,0.8401360511779785,1.0,1.0,0.931034505367279,0.9239130616188049,1.0,1.0,0.960629940032959,0.7979798316955566,0.8484848737716675,0.3620486855506897,0.7686480283737183,0.7320261597633362,0.7698413133621216,0.8500001430511475,1.0,1.0,1.0,1.0,0.9105263352394104,1.0,0.10112359374761581,0.758704423904419,1.0,0.9560439586639404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.990978479385376,1.0,0.8681199550628662,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9266666769981384,1.0,1.0,0.8125,1.0,0.8421053290367126,1.0,1.0,0.8031147122383118
