,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,0.0,0.9537821412086487,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.8964378237724304,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.969482958316803,0.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.9580637216567993
9,1.0,0.989037036895752,0.9953954815864563,1.0,1.0,1.0,0.9997519850730896,1.0,1.0,1.0,0.8761904835700989,0.9960159063339233,0.9267061948776245,0.991334080696106,0.6802851557731628,0.8336767554283142,0.7769230604171753,1.0,1.0,1.0,1.0,0.9453368186950684,1.0,1.0,0.950478732585907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9901050925254822,0.0,0.699999988079071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9925997257232666,1.0,1.0,0.9543335437774658,1.0,0.9828431606292725,1.0,1.0,0.9809600114822388
10,1.0,0.9910596609115601,1.0,1.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0,0.9987015128135681,,0.9832414984703064,1.0,1.0,,1.0,1.0,1.0,1.0,0.8666666746139526,1.0,0.8787779808044434,0.915109395980835,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9868845343589783,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.8769230842590332,1.0,1.0,,1.0,0.9829111695289612
11,1.0,0.9848885536193848,1.0,1.0,,,1.0,,,1.0,0.5,1.0,,0.9814987778663635,1.0,,,,1.0,1.0,1.0,,,1.0,0.8166667222976685,1.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.9926357865333557
12,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.8932225108146667
14,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.9765432476997375,,,,,,,,,,,,,,,,,,,,,0.9548940658569336
overall_len,0.970695972442627,0.9860855340957642,0.9946374893188477,1.0,1.0,0.9976615309715271,0.9991541504859924,1.0,1.0,0.9996875524520874,0.8341269493103027,0.9961590766906738,0.9267061948776245,0.9851710796356201,0.7797544002532959,0.7997280955314636,0.7769230604171753,1.0,1.0,1.0,1.0,0.9372107982635498,1.0,0.9758021831512451,0.9238306283950806,1.0,0.9819004535675049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992929697036743,1.0,0.9890038967132568,0.0,0.699999988079071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933559894561768,1.0,1.0,0.928309440612793,1.0,0.9557422399520874,1.0,1.0,0.9791465401649475
