,HLA-A01:01,HLA-A02:01,HLA-A02:05,HLA-A02:12,HLA-A03:01,HLA-A11:01,HLA-A23:01,HLA-A24:02,HLA-A30:01,HLA-A31:01,HLA-A31:08,HLA-A33:03,HLA-A34:01,HLA-B07:02,HLA-B08:01,HLA-B08:02,HLA-B13:01,HLA-B15:01,HLA-B15:02,HLA-B15:03,HLA-B18:01,HLA-B27:01,HLA-B27:02,HLA-B27:05,HLA-B35:01,HLA-B35:02,HLA-B35:08,HLA-B39:06,HLA-B40:01,HLA-B40:06,HLA-B41:01,HLA-B44:02,HLA-B46:01,HLA-B48:03,HLA-B50:01,HLA-B51:01,HLA-B52:01,HLA-B54:01,HLA-B56:01,HLA-B57:01,HLA-B58:01,HLA-C03:04,HLA-C04:01,HLA-C06:02,HLA-C07:01,HLA-C07:02,HLA-C08:02,HLA-C12:03,overall_mhc
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.8195450901985168,0.8106757998466492,0.7923041582107544,0.8502854704856873,0.8248813152313232,0.8196214437484741,0.7555646896362305,0.762607216835022,0.7844762802124023,0.8329261541366577,0.7928656339645386,0.8484892845153809,0.8085919618606567,0.7790514230728149,0.7881922125816345,0.7485733032226562,0.8813957571983337,0.7552869915962219,0.686534583568573,0.6745917797088623,0.7425640821456909,0.9019142389297485,0.8358872532844543,0.8664555549621582,0.6864000558853149,0.7560538053512573,0.7228602170944214,0.8308185338973999,0.8699663877487183,0.9018182158470154,0.8076941967010498,0.7188289761543274,0.6278196573257446,0.7995810508728027,0.90451979637146,0.8197917342185974,0.7487051486968994,0.7989742159843445,0.7809569835662842,0.8399113416671753,0.7727919220924377,0.7675126194953918,0.8085399270057678,0.70233553647995,0.7249842286109924,0.8106164336204529,0.7394638657569885,0.7425937056541443,0.7603893280029297
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_len,0.8195450901985168,0.8106757998466492,0.7923041582107544,0.8502854704856873,0.8248813152313232,0.8196214437484741,0.7555646896362305,0.762607216835022,0.7844762802124023,0.8329261541366577,0.7928656339645386,0.8484892845153809,0.8085919618606567,0.7790514230728149,0.7881922125816345,0.7485733032226562,0.8813957571983337,0.7552869915962219,0.686534583568573,0.6745917797088623,0.7425640821456909,0.9019142389297485,0.8358872532844543,0.8664555549621582,0.6864000558853149,0.7560538053512573,0.7228602170944214,0.8308185338973999,0.8699663877487183,0.9018182158470154,0.8076941967010498,0.7188289761543274,0.6278196573257446,0.7995810508728027,0.90451979637146,0.8197917342185974,0.7487051486968994,0.7989742159843445,0.7809569835662842,0.8399113416671753,0.7727919220924377,0.7675126194953918,0.8085399270057678,0.70233553647995,0.7249842286109924,0.8106164336204529,0.7394638657569885,0.7425937056541443,0.7603893280029297
