,HLA-A01:01,HLA-A02:01,HLA-A02:05,HLA-A02:12,HLA-A03:01,HLA-A11:01,HLA-A23:01,HLA-A24:02,HLA-A30:01,HLA-A31:01,HLA-A31:08,HLA-A33:03,HLA-A34:01,HLA-B07:02,HLA-B08:01,HLA-B08:02,HLA-B13:01,HLA-B15:01,HLA-B15:02,HLA-B15:03,HLA-B18:01,HLA-B27:01,HLA-B27:02,HLA-B27:05,HLA-B35:01,HLA-B35:02,HLA-B35:08,HLA-B39:06,HLA-B40:01,HLA-B40:06,HLA-B41:01,HLA-B44:02,HLA-B46:01,HLA-B48:03,HLA-B50:01,HLA-B51:01,HLA-B52:01,HLA-B54:01,HLA-B56:01,HLA-B57:01,HLA-B58:01,HLA-C03:04,HLA-C04:01,HLA-C06:02,HLA-C07:01,HLA-C07:02,HLA-C08:02,HLA-C12:03,overall_mhc
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.3854629397392273,0.46054476499557495,0.5449879765510559,0.48086729645729065,0.5325810313224792,0.5512900948524475,0.49246126413345337,0.5678985118865967,0.4398456811904907,0.5645533800125122,0.5856070518493652,0.5398549437522888,0.3341469466686249,0.5652358531951904,0.3482975661754608,0.16609124839305878,0.30654916167259216,0.40107816457748413,0.24113507568836212,0.49857768416404724,0.3413360118865967,0.5535586476325989,0.4183109700679779,0.5897887349128723,0.4203013777732849,0.6250821948051453,0.37085387110710144,0.6070657968521118,0.34628257155418396,0.46717369556427,0.28542959690093994,0.3829689025878906,0.1515633761882782,0.28085803985595703,0.45224761962890625,0.3105603754520416,0.2603453993797302,0.5601183176040649,0.4949800372123718,0.4475141763687134,0.521142303943634,0.7040745615959167,0.44522690773010254,0.46256595849990845,0.7358471155166626,0.6355109810829163,0.5643995404243469,0.6842570900917053,0.4138041138648987
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_len,0.3854629397392273,0.46054476499557495,0.5449879765510559,0.48086729645729065,0.5325810313224792,0.5512900948524475,0.49246126413345337,0.5678985118865967,0.4398456811904907,0.5645533800125122,0.5856070518493652,0.5398549437522888,0.3341469466686249,0.5652358531951904,0.3482975661754608,0.16609124839305878,0.30654916167259216,0.40107816457748413,0.24113507568836212,0.49857768416404724,0.3413360118865967,0.5535586476325989,0.4183109700679779,0.5897887349128723,0.4203013777732849,0.6250821948051453,0.37085387110710144,0.6070657968521118,0.34628257155418396,0.46717369556427,0.28542959690093994,0.3829689025878906,0.1515633761882782,0.28085803985595703,0.45224761962890625,0.3105603754520416,0.2603453993797302,0.5601183176040649,0.4949800372123718,0.4475141763687134,0.521142303943634,0.7040745615959167,0.44522690773010254,0.46256595849990845,0.7358471155166626,0.6355109810829163,0.5643995404243469,0.6842570900917053,0.4138041138648987
