,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,0.0,0.953624963760376,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.9379276037216187,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.9774465560913086,0.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,0.9643017649650574
9,1.0,0.9901354312896729,0.9954549074172974,1.0,1.0,1.0,0.9997355937957764,1.0,1.0,1.0,0.8928571343421936,0.995295524597168,0.9332877397537231,0.9901478290557861,0.6720238327980042,0.7933238744735718,0.7388888597488403,1.0,1.0,1.0,1.0,0.9454315304756165,1.0,1.0,0.9631293416023254,1.0,0.98333340883255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887071251869202,0.0,0.36666667461395264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953773617744446,1.0,1.0,0.9442325830459595,1.0,0.9828431606292725,1.0,1.0,0.9815033674240112
10,1.0,0.9947306513786316,1.0,1.0,1.0,0.949999988079071,1.0,1.0,1.0,1.0,1.0,0.9993589520454407,,0.9867201447486877,1.0,1.0,,1.0,1.0,1.0,1.0,0.8666666746139526,1.0,0.8787779808044434,0.9248378276824951,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9813085794448853,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.8864468932151794,1.0,1.0,,1.0,0.9851319193840027
11,1.0,0.996096134185791,1.0,1.0,,,1.0,,,1.0,0.5,1.0,,0.9698826670646667,1.0,,,,1.0,1.0,1.0,,,1.0,0.8166667222976685,1.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,0.9940577745437622
12,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.8932225108146667
14,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.9765432476997375,,,,,,,,,,,,,,,,,,,,,0.9548940658569336
overall_len,0.9626142978668213,0.9886101484298706,0.9949243068695068,1.0,1.0,0.9976615309715271,0.9993756413459778,1.0,1.0,0.9996174573898315,0.8620110750198364,0.9958423376083374,0.9332877397537231,0.9844536185264587,0.7728691101074219,0.76377934217453,0.7388888597488403,1.0,1.0,1.0,1.0,0.937307596206665,1.0,0.9720256328582764,0.9333529472351074,1.0,0.9665157794952393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993631839752197,1.0,0.9874584674835205,0.0,0.36666667461395264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958288669586182,1.0,1.0,0.9266805648803711,1.0,0.9557422399520874,1.0,1.0,0.9802656769752502
