,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0301,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B1501,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,overall_mhc
8,0.0,0.9540793895721436,,,,,,,1.0,1.0,,0.8970094323158264,,,,,,,,,,,1.0,1.0,,,,,0.9666666984558105,,0.9138129949569702,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,0.9390667676925659
9,1.0,0.9918978810310364,0.9861162900924683,1.0,1.0,1.0,0.9994668364524841,1.0,1.0,0.9947059154510498,0.9430702924728394,0.9864631295204163,0.7117347121238708,0.8776785731315613,0.7766666412353516,1.0,1.0,1.0,1.0,1.0,1.0,0.9541838765144348,1.0,1.0,1.0,1.0,1.0,1.0,0.9962473511695862,1.0,0.9904884696006775,0.3095238208770752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988089382648468,1.0,1.0,0.9543335437774658,1.0,0.8787224292755127,1.0,1.0,0.9804223775863647
10,0.9166666269302368,0.9940153360366821,1.0,1.0,1.0,0.887499988079071,1.0,1.0,1.0,0.9987015128135681,,0.990138053894043,1.0,,,1.0,1.0,1.0,1.0,,0.8879064917564392,0.9493799209594727,1.0,1.0,1.0,1.0,1.0,1.0,0.9809091091156006,,0.9852889776229858,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.7856369614601135,1.0,1.0,,1.0,0.9845742583274841
11,1.0,0.996096134185791,,1.0,,,,,1.0,1.0,,0.9759432077407837,,,,,,1.0,,,1.0,0.949999988079071,1.0,0.0,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,0.9922167062759399
12,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,,,,,,,,1.0,,,0.8511760234832764
14,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.8999999761581421,,,,,,,,,,,,,,,,,,0.9084510803222656
overall_len,0.9402536153793335,0.9918633699417114,0.9894683361053467,1.0,1.0,0.996170163154602,0.9996894001960754,1.0,0.9999353885650635,0.996833860874176,0.9430702924728394,0.967359185218811,0.761052668094635,0.8776785731315613,0.7766666412353516,1.0,1.0,1.0,1.0,1.0,0.9713225364685059,0.9365609288215637,1.0,0.9945055246353149,1.0,1.0,1.0,1.0,0.9928733110427856,1.0,0.9715665578842163,0.2916666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9893132448196411,1.0,1.0,0.9210139513015747,1.0,0.8625815510749817,1.0,1.0,0.9791470170021057
