,HLA-A01:01,HLA-A02:01,HLA-A03:01,HLA-A11:01,HLA-A24:02,HLA-A26:01,HLA-A30:01,HLA-A68:01,HLA-B07:02,HLA-B08:01,HLA-B15:01,HLA-B18:01,HLA-B27:05,HLA-B44:02,HLA-C01:02,overall_mhc
8,1.0,0.3928571343421936,0.0,0.0,1.0,,,,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.8046533465385437
9,0.5399101972579956,0.6366500854492188,0.6747233271598816,0.9638230204582214,0.5390040874481201,1.0,1.0,0.9260789155960083,0.690991997718811,0.9358750581741333,0.8178571462631226,1.0,0.9307808876037598,0.3280395269393921,1.0,0.6302036643028259
10,0.4495767056941986,0.598810613155365,0.4407495856285095,0.7118173241615295,0.7500898241996765,1.0,0.0,0.9534662961959839,0.8631313443183899,1.0,0.5,0.0,0.9765432476997375,0.6833595633506775,1.0,0.5567459464073181
11,1.0,0.9048647284507751,0.9266666173934937,0.6916667222976685,1.0,,,1.0,,0.0,1.0,,0.8333333730697632,0.8333333730697632,,0.8546262979507446
12,,,,,0.0,,,,,,,,,1.0,,0.5
13,,0.5,,,,,,,,,,,,,,0.5
14,,,,,,,,,,,,,,,,
overall_len,0.5477369427680969,0.6321171522140503,0.6299828290939331,0.7806908488273621,0.6220184564590454,1.0,1.0,0.9340291619300842,0.7124960422515869,0.8944585919380188,0.7479978799819946,1.0,0.9131213426589966,0.48082029819488525,1.0,0.6204137206077576
