,H2-Db,H2-Dd,H2-Kb,H2-Kd,H2-Kk,H2-Ld,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,Mamu-A01:01,Mamu-A02:01,Mamu-B:1701,overall_mhc
8,1.0,1.0,0.9164961576461792,1.0,1.0,1.0,0.0,0.9473749399185181,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.9333977103233337,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9666666984558105,,0.9101048707962036,0.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.9504175186157227
9,0.8972774744033813,1.0,0.973805844783783,1.0,,0.8442061543464661,0.8809523582458496,0.9913212060928345,0.9842408895492554,1.0,1.0,1.0,0.998052716255188,1.0,1.0,0.9996060132980347,0.8531135320663452,0.9984261989593506,0.9567660093307495,0.9947945475578308,0.7166666388511658,0.7434011101722717,0.6731092929840088,1.0,1.0,1.0,1.0,0.9820587038993835,1.0,1.0,0.9123509526252747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9872267246246338,1.0,0.980230987071991,0.0,0.2678571343421936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9657426476478577,1.0,1.0,0.9777494668960571,1.0,0.9735552072525024,1.0,1.0,1.0,1.0,1.0,0.9782691597938538
10,0.9572980403900146,1.0,0.8766666650772095,1.0,,1.0,0.8666666746139526,0.9907820224761963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973337054252625,,0.9895889759063721,1.0,1.0,,1.0,1.0,1.0,1.0,0.8666666746139526,1.0,0.9277362823486328,0.9276634454727173,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9812005758285522,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.8297619223594666,1.0,1.0,,1.0,1.0,1.0,1.0,0.9811462163925171
11,1.0,1.0,1.0,1.0,,1.0,1.0,0.9968855381011963,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,0.9913888573646545,1.0,,,,1.0,1.0,1.0,,,1.0,0.7708333730697632,1.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,0.9907050132751465
12,0.9150793552398682,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.9912739992141724
13,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,0.9818413257598877
14,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.9765432476997375,,,,,,,,,,,,,,,,,,,,,,,,0.9908859729766846
overall_len,0.8907455205917358,1.0,0.9417240619659424,1.0,1.0,0.8712743520736694,0.8864024877548218,0.9874534010887146,0.9848851561546326,1.0,1.0,0.9988506436347961,0.9969443678855896,1.0,1.0,0.999811053276062,0.8622415065765381,0.9983022809028625,0.9567660093307495,0.9906387329101562,0.807437002658844,0.7550264596939087,0.6731092929840088,1.0,1.0,1.0,1.0,0.9682903289794922,1.0,0.9848507642745972,0.8960753083229065,1.0,0.9838265180587769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9868342280387878,1.0,0.9758347868919373,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9654663801193237,1.0,1.0,0.9498627185821533,1.0,0.9474319219589233,1.0,1.0,1.0,1.0,1.0,0.9743146896362305
