,H2-Db,H2-Dd,H2-Kb,H2-Kd,H2-Kk,H2-Ld,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,Mamu-A01:01,Mamu-A02:01,Mamu-B:1701,overall_mhc
8,1.0,1.0,0.928091287612915,1.0,1.0,1.0,0.0,0.9641804695129395,1.0,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.9442705512046814,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9666666984558105,,0.9630295634269714,0.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.9607381820678711
9,0.905242919921875,1.0,0.9564559459686279,1.0,,0.8694994449615479,1.0,0.9936625957489014,0.9718276858329773,1.0,1.0,1.0,0.998633086681366,1.0,1.0,0.9998043775558472,0.9034013152122498,0.9979756474494934,0.9435886144638062,0.9943431615829468,0.6784013509750366,0.8173611164093018,0.7267857193946838,1.0,1.0,1.0,1.0,0.9719024300575256,1.0,1.0,0.9669221043586731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998705267906189,1.0,0.9950570464134216,0.0,0.699999988079071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9912258982658386,1.0,1.0,0.9543335437774658,1.0,0.9846546649932861,1.0,1.0,1.0,1.0,1.0,0.9823096394538879
10,0.9622222185134888,1.0,0.809999942779541,1.0,,1.0,0.9166666269302368,0.9926203489303589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9973337054252625,,0.9887458086013794,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.8475279808044434,0.9334456920623779,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9871620535850525,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.7933982610702515,1.0,1.0,,1.0,1.0,1.0,1.0,0.982886552810669
11,1.0,1.0,1.0,1.0,,1.0,1.0,0.9968855381011963,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,0.9814987778663635,1.0,,,,1.0,1.0,1.0,,,1.0,0.8041666746139526,1.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,0.9887019395828247
12,0.7345238924026489,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.986643373966217
13,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,0.9577065110206604
14,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.9765432476997375,,,,,,,,,,,,,,,,,,,,,,,,0.9653646945953369
overall_len,0.8961504697799683,1.0,0.9285840392112732,1.0,1.0,0.8833181262016296,0.9564102292060852,0.9897753596305847,0.9750120639801025,1.0,1.0,0.9988506436347961,0.9977161884307861,1.0,1.0,0.9996174573898315,0.9291747808456421,0.9977436065673828,0.9435886144638062,0.9893702268600464,0.7478470802307129,0.8110693097114563,0.7267857193946838,1.0,1.0,1.0,1.0,0.9655734896659851,1.0,0.9663006663322449,0.9367270469665527,1.0,0.9819004535675049,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966198205947876,1.0,0.9899941682815552,0.0,0.699999988079071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992090106010437,1.0,1.0,0.9271325469017029,1.0,0.9573631286621094,1.0,1.0,1.0,1.0,1.0,0.977936863899231
