,H2-Db,H2-Dd,H2-Kb,H2-Kd,H2-Kk,H2-Ld,HLA-A0101,HLA-A0201,HLA-A0202,HLA-A0203,HLA-A0204,HLA-A0205,HLA-A0206,HLA-A0207,HLA-A0214,HLA-A0301,HLA-A0302,HLA-A1101,HLA-A2301,HLA-A2402,HLA-A2601,HLA-A2602,HLA-A2603,HLA-A2902,HLA-A3002,HLA-A3101,HLA-A3301,HLA-A3303,HLA-A6601,HLA-A6801,HLA-A6802,HLA-B0702,HLA-B0801,HLA-B0802,HLA-B1501,HLA-B1510,HLA-B1516,HLA-B2702,HLA-B2703,HLA-B2704,HLA-B2705,HLA-B2706,HLA-B3501,HLA-B3502,HLA-B3503,HLA-B3901,HLA-B4001,HLA-B4002,HLA-B4402,HLA-B4403,HLA-B5101,HLA-B5102,HLA-B5103,HLA-B5201,HLA-B5301,HLA-B5401,HLA-B5701,HLA-B5801,HLA-C0102,HLA-C0304,HLA-C0401,HLA-C0602,HLA-C0702,Mamu-A01:01,Mamu-A02:01,Mamu-B:1701,overall_mhc
8,1.0,1.0,0.7113636136054993,1.0,1.0,1.0,1.0,0.44999998807907104,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,0.773809552192688,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.800000011920929,,0.3333333432674408,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.6447775363922119
9,0.6285892724990845,1.0,0.7984127402305603,1.0,,0.3492063581943512,1.0,0.9172058701515198,0.5680751204490662,1.0,1.0,1.0,0.9180327653884888,1.0,1.0,0.98591548204422,0.8392857313156128,0.9166666269302368,0.5076190233230591,0.8171141147613525,0.6554621458053589,0.7767857909202576,0.8125,1.0,1.0,1.0,1.0,0.9545454382896423,1.0,1.0,0.9096153974533081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9826388955116272,1.0,0.8823529481887817,1.0,0.7857142686843872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9017543792724609,1.0,1.0,0.7272727489471436,1.0,0.9495798349380493,1.0,1.0,1.0,1.0,1.0,0.8371715545654297
10,0.7999999523162842,1.0,0.20000000298023224,1.0,,1.0,0.8333333730697632,0.8952139019966125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8974359035491943,,0.8538461327552795,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.9358288645744324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.6666666865348816,1.0,1.0,,1.0,1.0,1.0,1.0,0.8281292915344238
11,1.0,1.0,1.0,1.0,,1.0,1.0,0.9375,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,0.7333333492279053,1.0,,,,1.0,1.0,1.0,,,1.0,0.625,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,1.0,,1.0,0.7732322812080383
12,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.2450980395078659
13,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,0.39024388790130615
14,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.8888888955116272,,,,,,,,,,,,,,,,,,,,,,,,0.7419354915618896
overall_len,0.5385210514068604,1.0,0.7135982513427734,1.0,1.0,0.2222222238779068,0.9273504018783569,0.8601193428039551,0.4999999701976776,1.0,1.0,0.9655172228813171,0.8111110925674438,1.0,1.0,0.9523809552192688,0.8888888955116272,0.9040403366088867,0.5076190233230591,0.8304615020751953,0.7189542055130005,0.7777777314186096,0.8125,1.0,1.0,1.0,1.0,0.9631578922271729,1.0,0.033707864582538605,0.7903225421905518,1.0,0.9560439586639404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9599141478538513,1.0,0.8833227157592773,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9066666960716248,1.0,1.0,0.800000011920929,1.0,0.8496240973472595,1.0,1.0,1.0,1.0,1.0,0.7859004139900208
